[40888:14728:0518/195649.334:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[40888:36196:0518/195649.394:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[40888:14728:0518/195649.420:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[7192:33028:0518/195653.648:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-B0E3840270CB79D6FB01190CE4CE9CF0 will be ignored
[19976:392:0518/202702.869:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 7-C25309A2FEC711D36458163E4A31A182 will be ignored
[52520:52656:0518/202847.913:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(103,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)

[52520:19928:0518/202848.062:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(136,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(138,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(174,1): warning X4000: use of potentially uninitialized variable (f_u_int_int_int)

[52520:52956:0518/202848.594:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(166,1): warning X4000: use of potentially uninitialized variable (f_renderMipMapLevel_int)

[52520:41396:0518/202912.780:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.798:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.812:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.829:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.848:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.862:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.881:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.897:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.914:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.930:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.946:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.963:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.980:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202912.997:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202913.013:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202913.031:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202913.047:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202913.064:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202913.080:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202913.098:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202913.116:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #896).
[52520:41396:0518/202913.819:VERBOSE1:video_capture_oracle.cc(173)] Content sampler detects animation ended.
[52520:41396:0518/202919.867:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #904).
[52520:17984:0518/202919.898:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(93,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_mat4x4_int)
C:\fakepath(71,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)

[52520:41396:0518/202919.936:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #905).
[52520:41396:0518/202919.945:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #905).
[52520:41396:0518/202919.983:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #905).
[52520:41396:0518/202919.996:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #905).
[52520:48516:0518/202920.007:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(187,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_mat4x4_int)
C:\fakepath(165,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)
C:\fakepath(187,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_mat4x4_int)
C:\fakepath(165,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)

[52520:41396:0518/202920.011:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #905).
[52520:25344:0518/202920.021:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(128,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_mat4x4_int)
C:\fakepath(106,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)
C:\fakepath(128,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_mat4x4_int)
C:\fakepath(106,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)
C:\fakepath(128,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_mat4x4_int)
C:\fakepath(106,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)

[52520:52656:0518/202920.069:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(717,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_mat4x4_int)
C:\fakepath(695,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)
C:\fakepath(717,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_mat4x4_int)
C:\fakepath(695,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)
C:\fakepath(717,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_mat4x4_int)
C:\fakepath(695,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)

[52520:41396:0518/202920.472:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #905).
[52520:41396:0518/202920.478:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #905).
[52520:41396:0518/202921.130:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.144:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.161:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.178:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.194:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.210:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.227:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.743:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.744:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.762:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.779:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.794:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202921.812:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.353:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.399:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.411:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.428:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.444:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.461:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.860:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.862:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.878:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.895:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.911:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.927:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.945:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.961:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #906).
[52520:41396:0518/202922.994:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #907).
[52520:41396:0518/202923.011:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #907).
[52520:41396:0518/202923.028:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #907).
[52520:41396:0518/202923.044:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #907).
[52520:41396:0518/202923.063:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #907).
